POS ITEM ID,POS ITEM,POS Group,POS Subgroup,My Group,QTY,COST,PRICE,PROFIT,TOTAL COST,TOTAL SALES,TOTAL PROFIT,Group Rating,AvgQuantityBySubGroup,AvgMarginBySubGroup,Subgroup Rating,AvgQuantityByMyGroup,AvgMarginByMyGroup,My Group Rating
29,Gogo Squeez (Foodager),Food,Sides,Snack,484,0.89,3.32,2.43,430.76,1607.73,1176.97,Dog,103.56756756756756,3.0075675675675675,Plowhorse,254.53846153846155,4.169615384615384,Plowhorse
42,Bacon Croissant Sandwich (Foodager),Food,Sandwiches,Breakfast,2705,2.38,11.14,8.76,6437.9,30126.7,23688.8,Star,625.75,8.391928852601646,Star,812.65,3.9770000000000003,Star
52,SM Muffin (Foodager),Food,Entrees,Breakfast,2523,1.2,3.76,2.56,3027.6,9488.79,6461.19,Plowhorse,910.75,7.254765106421356,Plowhorse,812.65,3.9770000000000003,Plowhorse
71,Loaf Cake (Foodager),Food,Entrees,Breakfast,1336,1.43,3.6,2.17,1910.48,4815.51,2905.03,Plowhorse,910.75,7.254765106421356,Plowhorse,812.65,3.9770000000000003,Plowhorse
74,Cake Pops (Foodager),Food,Sides,Snack,1,0.0,3.75,3.75,0.0,3.75,3.75,Dog,103.56756756756756,3.0075675675675675,Puzzle,254.53846153846155,4.169615384615384,Dog
76,Yogurt Partfait (Foodager),Food,Entrees,Breakfast,3194,1.71,5.69,3.98,5461.74,18182.65,12720.91,Plowhorse,910.75,7.254765106421356,Plowhorse,812.65,3.9770000000000003,Star
79,Coffee Cake (Foodager),Food,Entrees,Breakfast,671,1.59,3.71,2.12,1066.89,2490.1,1423.21,Plowhorse,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Dog
80,Bacon EggBites (Foodager),Food,Entrees,Breakfast,855,0.74,7.21,6.47,632.7,6168.75,5536.05,Star,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Star
81,Vegetarian EggBites (Foodager),Food,Entrees,Breakfast,591,0.75,7.0,6.25,443.25,4136.96,3693.71,Star,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Puzzle
83,"Bacon, Cheddar & Egg Bagel Sandwich (Foodager)",Food,Sandwiches,Breakfast,308,1.76,9.84,8.08,542.08,3031.26,2489.18,Puzzle,625.75,8.391928852601646,Dog,812.65,3.9770000000000003,Puzzle
84,Side Salad (Foodager),Food,Soup/Salads,Salad,11,2.94,9.55,6.61,32.34,105.0,72.66,Puzzle,404.0,5.55,Puzzle,360.375,5.06875,Puzzle
85,Fruit Salad (Foodager),Food,Soup/Salads,Salad,1248,0.92,5.67,4.75,1148.16,7079.31,5931.15,Plowhorse,404.0,5.55,Plowhorse,360.375,5.06875,Plowhorse
96,Quiche (Foodager),Food,Entrees,Breakfast,338,2.1,6.02,3.92,709.8,2033.26,1323.46,Dog,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Dog
116,SM Waffle (Foodager),Food,Entrees,Breakfast,977,2.73,4.8,2.07,2667.21,4690.75,2023.54,Plowhorse,910.75,7.254765106421356,Plowhorse,812.65,3.9770000000000003,Plowhorse
